Category,Run_ID,Sample_ID,Label,Score_Original,Score_OnlyRat,Kept_Rationales
alt.atheism,0,0,Normal,0.5392723083496094,0.5604516863822937,"['[SEP]', 'i', 'or', '-', '[CLS]', 'asked', 'either', 'pops', 'years', '.', 'charley', 'alternative', 'wing', 'which', 'alternative', 'enough', 'i', 'indicates', '##sol', 'now', 'alternative', '-', 'times', '}', 'have']"
alt.atheism,0,1,Normal,0.5420741438865662,0.5884321928024292,"['states', 'any', 'california', '?', 'you', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt.atheism,0,2,Normal,0.5386461019515991,0.5964258313179016,"['be', '[CLS]', 'than', 'broken', 'can', 'everything', 'any', '##mps', '""', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt.atheism,0,3,Normal,0.5330587029457092,0.5947662591934204,"['[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt.atheism,0,4,Normal,0.5384783744812012,0.563256025314331,"['[SEP]', '[CLS]', 'not', 'want', '.', 'care', 'people', ':', 'lutheran', 'many', 'finland', 'there', ',', ',', 'atheist', 'were', 'spec', 'do', 'it', 'least', 'god', 'majority', 'the', ':', 'rather']"
alt.atheism,0,160,Anomaly,0.5385570526123047,0.5578356981277466,"['[SEP]', '[CLS]', 'the', 'communications', ""'"", ""'"", 'truman', 'here', 'shall', ',', 's', 'foreign', 'of', 'collect', '.', ',', 'nsa', 'us', ')', '.', '24', 'excerpt', 'intelligence', 'the', '.']"
alt.atheism,0,161,Anomaly,0.5404728651046753,0.5630699396133423,"['[SEP]', 'few', '[CLS]', 'a', 'stick', 'as', 'hockey', ',', '.', ""'"", ""'"", 'guy', 's', 'name', '##f', 'gonna', ',', 'play', 'violence', 's', 'ul', 'rules', 'new', 'as', 'hell']"
alt.atheism,0,162,Anomaly,0.5477855801582336,0.5994676351547241,"['[CLS]', '-', 'leaf', 'cheers', 'they', 'really', 'game', 'game', 'these', '-', '-', '-', 'going', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt.atheism,0,163,Anomaly,0.5463885068893433,0.5838388204574585,"[')', 'a', '[CLS]', '(', 'cleanup', 'bonds', 'runners', 'lot', '!', 'position', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt.atheism,0,164,Anomaly,0.5364735126495361,0.5901813507080078,"['[CLS]', '.', 'or', 'increase', 'i', 'would', ',', 'fatal', 'never', '""', 'be', '-', 'pass', 'i', 'act', 'well', 'would', 'would', ',', 'these', 'block', 'would', 'off', 'otherwise', 'that']"
